Date;Last;Bid;Ask;IV;Strike;Last (P);Bid (P);Ask (P);IV (P);
2021-08-20;0.00;47.10;51.40;98.10;140.00;0.10;0.05;0.95;0.00;
2021-08-20;0.00;42.80;45.90;92.69;145.00;0.05;0.05;0.75;0.00;
2021-08-20;0.00;37.50;41.00;78.67;150.00;0.23;0.05;1.30;0.00;
2021-08-20;30.70;33.30;35.50;74.60;155.00;0.09;0.05;0.90;0.00;
2021-08-20;20.83;27.60;30.60;53.61;160.00;0.05;0.05;0.35;0.00;
2021-08-20;23.35;23.20;24.60;59.84;165.00;0.30;0.05;0.30;44.76;
2021-08-20;20.40;18.10;19.00;31.77;170.00;0.11;0.05;0.25;35.38;
2021-08-20;13.70;13.60;14.00;24.25;175.00;0.15;0.05;0.25;27.17;
2021-08-20;9.40;8.70;9.30;16.61;180.00;0.25;0.25;0.35;21.18;
2021-08-20;5.20;4.50;4.90;18.00;185.00;0.75;0.85;1.00;19.31;
2021-08-20;2.20;1.50;1.85;17.43;190.00;2.70;2.75;3.00;18.24;
2021-08-20;0.40;0.25;0.40;17.73;195.00;6.90;6.30;6.90;19.06;
2021-08-20;0.10;0.10;0.15;19.62;200.00;11.78;10.20;12.30;21.15;
2021-08-20;0.05;0.05;0.05;0.00;210.00;0.00;19.80;22.00;51.91;
2021-08-20;0.05;0.05;0.05;0.00;220.00;0.00;29.10;32.80;80.39;
2021-08-20;0.07;0.05;0.75;0.00;230.00;0.00;39.20;42.30;87.31;
2021-09-17;35.80;48.20;50.20;51.18;140.00;0.55;0.05;0.80;0.00;
2021-09-17;41.00;43.20;44.60;53.67;145.00;0.80;0.10;0.45;0.00;
2021-09-17;30.00;38.50;39.40;30.61;150.00;0.52;0.10;0.40;38.16;
2021-09-17;27.10;33.30;34.70;30.63;155.00;0.48;0.10;0.60;35.66;
2021-09-17;28.30;28.70;30.50;37.16;160.00;0.42;0.25;0.50;31.30;
2021-09-17;24.20;23.30;24.20;26.64;165.00;0.53;0.35;0.55;27.59;
2021-09-17;16.88;18.70;19.60;21.13;170.00;0.73;0.55;0.70;24.61;
2021-09-17;14.20;14.40;14.80;20.93;175.00;1.13;1.00;1.15;22.93;
2021-09-17;10.97;10.10;10.40;19.31;180.00;1.70;1.75;1.90;21.21;
2021-09-17;6.50;6.40;6.70;18.34;185.00;2.92;3.10;3.30;20.13;
2021-09-17;4.13;3.60;3.90;17.81;190.00;6.00;5.30;5.60;19.66;
2021-09-17;2.33;1.80;2.05;17.63;195.00;9.60;8.40;9.80;21.87;
2021-09-17;0.86;0.75;1.00;17.53;200.00;14.50;12.50;13.00;21.30;
2021-09-17;0.25;0.15;0.30;19.80;210.00;0.00;21.60;22.90;27.52;
2021-09-17;0.20;0.05;0.40;25.93;220.00;0.00;29.80;32.60;38.61;
2021-09-17;0.18;0.05;0.40;0.00;230.00;0.00;40.20;42.40;24.81;
2021-10-15;0.00;48.40;49.80;38.04;140.00;0.00;0.20;0.65;39.66;
