Date;Strike;Midpoint;IV
17/09/2021;7000.00;1892.06;0.00
17/09/2021;7100.00;1792.11;0.00
17/09/2021;7200.00;1692.31;0.00
17/09/2021;7300.00;1592.36;0.00
17/09/2021;7400.00;1492.11;0.00
17/09/2021;7500.00;1392.16;0.00
17/09/2021;7600.00;1292.11;0.00
17/09/2021;7700.00;1191.76;0.00
17/09/2021;7800.00;1092.21;0.00
17/09/2021;7900.00;992.56;0.00
17/09/2021;8000.00;892.26;0.00
17/09/2021;8100.00;793.06;0.00
17/09/2021;8200.00;692.31;0.00
17/09/2021;8300.00;592.46;0.00
17/09/2021;8400.00;492.41;0.00
17/09/2021;8500.00;392.06;0.00
17/09/2021;8600.00;292.51;0.00
17/09/2021;8700.00;192.31;0.00
17/09/2021;8800.00;92.01;0.00
17/09/2021;8900.00;3347.96;0.00
17/09/2021;9000.00;6603.45;87.13
17/09/2021;9100.00;6503.30;84.64
17/09/2021;9200.00;6403.50;84.10
17/09/2021;9300.00;6303.40;81.95
17/09/2021;9400.00;6203.60;81.35
17/09/2021;9500.00;6103.65;79.99
17/09/2021;9525.00;6078.70;79.81
17/09/2021;9550.00;6053.65;79.19
17/09/2021;9575.00;6028.70;79.02
17/09/2021;9600.00;6003.35;76.94
17/09/2021;9625.00;5978.35;76.55
17/09/2021;9650.00;5953.25;75.62
17/09/2021;9675.00;5928.70;77.44
17/09/2021;9700.00;5903.65;76.83
17/09/2021;9725.00;5878.75;76.87
17/09/2021;9750.00;5853.80;76.69
17/09/2021;9775.00;5828.85;76.50
17/09/2021;9800.00;5804.10;77.07
17/09/2021;9825.00;5779.30;77.39
17/09/2021;9850.00;5753.55;74.05
17/09/2021;9875.00;5728.90;75.14
17/09/2021;9900.00;5703.80;74.36
17/09/2021;9925.00;5678.90;74.37
17/09/2021;9950.00;5653.95;74.17
17/09/2021;9975.00;5629.75;76.43
17/09/2021;10000.00;5604.00;73.59
17/09/2021;10025.00;5578.60;71.61
17/09/2021;10050.00;5554.25;73.69
17/09/2021;10075.00;5529.00;72.43
17/09/2021;10100.00;5503.95;71.87
17/09/2021;10125.00;5479.00;71.67
17/09/2021;10150.00;5454.10;71.64
17/09/2021;10175.00;5429.85;73.56
17/09/2021;10200.00;5403.75;69.59
17/09/2021;10225.00;5378.90;69.79
17/09/2021;10250.00;5354.35;70.94
17/09/2021;10275.00;5328.80;68.66
17/09/2021;10300.00;5303.80;68.29
17/09/2021;10325.00;5279.95;71.50
17/09/2021;10350.00;5254.00;68.27
17/09/2021;10375.00;5229.00;67.90
17/09/2021;10400.00;5204.45;68.96
17/09/2021;10425.00;5178.90;66.81
17/09/2021;10450.00;5153.90;66.44
17/09/2021;10475.00;5129.25;67.23
17/09/2021;10500.00;5104.10;66.38
17/09/2021;10525.00;5079.40;66.94
17/09/2021;10550.00;5054.55;66.99
17/09/2021;10575.00;5029.60;66.76
17/09/2021;10600.00;5004.40;65.82
17/09/2021;10625.00;4979.50;65.74
17/09/2021;10650.00;4954.50;65.36
17/09/2021;10675.00;4929.45;64.85
17/09/2021;10700.00;4904.45;64.48
17/09/2021;10725.00;4879.05;62.92
17/09/2021;10750.00;4854.35;63.47
17/09/2021;10775.00;4829.40;63.24
17/09/2021;10800.00;4804.55;63.29
17/09/2021;10825.00;4779.25;62.08
17/09/2021;10850.00;4754.30;61.87
17/09/2021;10875.00;4729.50;62.06
17/09/2021;10900.00;4704.55;61.83
17/09/2021;10925.00;4679.40;61.06
17/09/2021;10950.00;4654.60;61.23
17/09/2021;10975.00;4629.70;61.12
17/09/2021;11000.00;4604.65;60.63
17/09/2021;11025.00;4579.75;60.52
17/09/2021;11050.00;4554.70;60.03
17/09/2021;11075.00;4529.70;59.67
17/09/2021;11100.00;4504.85;59.67
17/09/2021;11125.00;4479.80;59.19
17/09/2021;11150.00;4454.65;58.47
17/09/2021;11175.00;4430.00;58.93
17/09/2021;11200.00;4404.90;58.34
17/09/2021;11225.00;4379.90;57.98
17/09/2021;11250.00;4354.80;57.40
17/09/2021;11275.00;4330.05;57.60
17/09/2021;11300.00;4305.05;57.24
17/09/2021;11325.00;4279.90;56.55
17/09/2021;11350.00;4255.15;56.73
17/09/2021;11375.00;4230.15;56.37
17/09/2021;11400.00;4205.00;55.70
17/09/2021;11425.00;4180.05;55.45
17/09/2021;11450.00;4155.10;55.20
17/09/2021;11475.00;4130.30;55.25
17/09/2021;11500.00;4105.35;54.99
17/09/2021;11525.00;4080.50;54.91
17/09/2021;11550.00;4055.40;54.37
17/09/2021;11575.00;4030.30;53.83
17/09/2021;11600.00;4005.50;53.84
17/09/2021;11625.00;3980.50;53.49
17/09/2021;11650.00;3955.60;53.31
17/09/2021;11675.00;3930.75;53.22
17/09/2021;11700.00;3906.60;54.20
17/09/2021;11725.00;3880.55;52.16
17/09/2021;11750.00;3856.10;52.72
17/09/2021;11775.00;3831.45;52.89
17/09/2021;11800.00;3805.75;51.45
17/09/2021;11825.00;3780.80;51.18
17/09/2021;11850.00;3756.10;51.30
17/09/2021;11875.00;3731.20;51.09
17/09/2021;11900.00;3706.00;50.44
17/09/2021;11925.00;3681.50;50.82
17/09/2021;11950.00;3656.10;49.88
17/09/2021;11975.00;3631.15;49.61
17/09/2021;12000.00;3606.20;49.33
17/09/2021;12025.00;3581.25;49.05
17/09/2021;12050.00;3556.35;48.84
17/09/2021;12075.00;3531.40;48.56
17/09/2021;12100.00;3506.70;48.61
17/09/2021;12125.00;3481.60;48.13
17/09/2021;12150.00;3456.60;47.77
17/09/2021;12175.00;3431.70;47.55
17/09/2021;12200.00;3406.80;47.33
17/09/2021;12225.00;3381.90;47.10
17/09/2021;12250.00;3356.95;46.81
17/09/2021;12275.00;3332.80;47.44
17/09/2021;12300.00;3307.30;46.52
17/09/2021;12325.00;3282.20;46.05
17/09/2021;12350.00;3257.30;45.81
17/09/2021;12375.00;3232.35;45.52
17/09/2021;12400.00;3207.45;45.28
17/09/2021;12425.00;3182.45;44.92
17/09/2021;12450.00;3157.65;44.79
17/09/2021;12475.00;3132.60;44.38
17/09/2021;12500.00;3108.10;44.54
17/09/2021;12525.00;3082.90;43.99
17/09/2021;12550.00;3058.05;43.78
17/09/2021;12575.00;3033.40;43.77
17/09/2021;12600.00;3008.20;43.22
17/09/2021;12625.00;2983.30;42.96
17/09/2021;12650.00;2958.65;42.93
17/09/2021;12675.00;2933.55;42.49
17/09/2021;12700.00;2908.70;42.27
17/09/2021;12725.00;2883.80;42.00
17/09/2021;12750.00;2859.10;41.90
17/09/2021;12775.00;2834.10;41.55
