Date;IV;Delta;Gamma;Theta;Vega;Strike
09/27/21;142.11;10000;0;0;0;21
09/27/21;139.41;10000;0;0;0;21.5
09/27/21;136.72;10000;0;0;0;22
09/27/21;134.14;10000;0;0;0;22.5
09/27/21;131.56;10000;0;0;0;23
09/27/21;129.1;10000;0;0;0;23.5
09/27/21;126.64;10000;0;0;0;24
09/27/21;121.95;10000;0;0;0;25
09/27/21;100.98;10000;0;0;0;30
09/27/21;93.59;10000;0;0;0;32
09/27/21;90.08;10000;0;0;0;33
09/27/21;86.62;10000;0;0;0;34
09/27/21;83.28;10000;0;0;0;35
09/27/21;80.12;10000;0;0;0;36
09/27/21;76.95;10000;0;0;0;37
09/27/21;73.91;10000;0;0;0;38
09/27/21;70.86;10000;0;0;0;39
09/27/21;69.45;10000;0;0;0;39.5
09/27/21;68.05;10000;0;0;0;40
09/27/21;65.23;10000;0;0;0;41
09/27/21;76.88;10000;0;0;0;42
09/27/21;73.79;10000;0;0;0;43
09/27/21;70.76;10000;0;0;0;44
09/27/21;67.81;10000;0;0;0;45
09/27/21;64.91;10000;0;0;0;46
09/27/21;62.07;10000;0;0;0;47
09/27/21;60.67;10000;0;0;0;47.5
09/27/21;59.29;10000;0;0;0;48
09/27/21;56.55;10000;0;0;0;49
09/27/21;55.2;10000;0;0;0;49.5
09/27/21;53.87;10000;0;0;0;50
09/27/21;52.55;10000;0;0;0;50.5
09/27/21;51.23;10000;0;0;0;51
09/27/21;53.78;10000;0;0;0;51.5
09/27/21;52.41;10000;0;0;0;52
09/27/21;51.05;10000;0;0;0;52.5
09/27/21;49.7;10000;0;0;0;53
09/27/21;48.36;10000;0;0;0;53.5
09/27/21;47.03;10000;0;0;0;54
09/27/21;45.72;9999;0;0;0;54.5
09/27/21;46.69;9999;0;0;0;55
09/27/21;45.34;9999;1;0;1;55.5
09/27/21;43.99;9998;1;-1;1;56
09/27/21;42.66;9997;2;-1;2;56.5
09/27/21;42.98;9996;3;-1;3;57
09/27/21;41.62;9994;4;-2;4;57.5
09/27/21;41.6;9991;6;-3;6;58
09/27/21;40.22;9987;8;-4;8;58.5
09/27/21;39.95;9981;11;-6;11;59
09/27/21;39.53;9973;16;-9;16;59.5
09/27/21;38.82;9968;18;-10;18;59.75
09/27/21;38.98;9961;22;-12;22;60
09/27/21;38.26;9954;25;-14;25;60.25
09/27/21;38.33;9946;29;-16;29;60.5
09/27/21;37.6;9937;34;-19;34;60.75
09/27/21;37.59;9926;39;-21;39;61
09/27/21;37.51;9914;44;-25;44;61.25
09/27/21;36.77;9900;51;-28;51;61.5
09/27/21;36.64;9884;57;-32;58;61.75
09/27/21;36.46;9866;65;-36;65;62
09/27/21;36.25;9846;74;-41;74;62.25
09/27/21;36;9823;83;-46;83;62.5
09/27/21;35.71;9798;93;-51;93;62.75
09/27/21;35.4;9769;104;-57;104;63
09/27/21;35.05;9738;115;-64;115;63.25
09/27/21;34.69;9703;128;-71;128;63.5
09/27/21;34.69;9664;142;-78;142;63.75
09/27/21;34.26;9622;156;-87;156;64
09/27/21;34.17;9576;172;-95;172;64.25
09/27/21;33.69;9525;188;-104;188;64.5
09/27/21;33.52;9470;205;-114;205;64.75
09/27/21;33.31;9410;223;-124;223;65
09/27/21;33.05;9345;242;-134;242;65.25
09/27/21;32.76;9275;262;-145;262;65.5
09/27/21;32.71;9200;282;-156;282;65.75
09/27/21;32.34;9119;303;-168;304;66
09/27/21;32.19;9033;325;-180;325;66.25
