date;value
31/01/1994;6,84
28/02/1994;6,73
31/03/1994;6,68
30/04/1994;6,22
31/05/1994;5,85
30/06/1994;6,32
31/07/1994;6,27
31/08/1994;5,94
30/09/1994;6
31/10/1994;6,13
30/11/1994;5,97
31/12/1994;5,24
31/01/1995;5,87
28/02/1995;6,03
31/03/1995;6,42
30/04/1995;6,53
31/05/1995;6,48
30/06/1995;6,36
31/07/1995;6,2
31/08/1995;5,96
30/09/1995;5,8
31/10/1995;6,02
30/11/1995;5,76
31/12/1995;5,62
31/01/1996;5,26
29/02/1996;4,89
31/03/1996;4,89
30/04/1996;4,71
31/05/1996;4,73
30/06/1996;4,73
31/07/1996;4,52
31/08/1996;4,39
30/09/1996;4,08
31/10/1996;4,15
30/11/1996;4,57
31/12/1996;4,04
31/01/1997;4,35
28/02/1997;4,35
31/03/1997;4,09
30/04/1997;3,85
31/05/1997;3,84
30/06/1997;3,94
31/07/1997;3,83
31/08/1997;4,02
30/09/1997;3,87
31/10/1997;4,28
30/11/1997;3,86
31/12/1997;3,98
31/01/1998;3,89
28/02/1998;4,22
31/03/1998;3,83
30/04/1998;3,76
31/05/1998;3,79
30/06/1998;3,76
31/07/1998;3,77
31/08/1998;3,78
30/09/1998;3,81
31/10/1998;3,66
30/11/1998;3,4
31/12/1998;3,09
31/01/1999;3,137
28/02/1999;3,118
31/03/1999;2,9252
30/04/1999;2,7091
31/05/1999;2,551
30/06/1999;2,5632
31/07/1999;2,5209
31/08/1999;2,4427
30/09/1999;2,4336
31/10/1999;2,5019
30/11/1999;2,9355
31/12/1999;3,0418
31/01/2000;3,0429
29/02/2000;3,2757
31/03/2000;3,5104
30/04/2000;3,685
31/05/2000;3,92
30/06/2000;4,2945
31/07/2000;4,3086
31/08/2000;4,4191
30/09/2000;4,5905
31/10/2000;4,7627
30/11/2000;4,8291
31/12/2000;4,8268
31/01/2001;4,7559
28/02/2001;4,9925
31/03/2001;4,7814
30/04/2001;5,0642
31/05/2001;4,6536
30/06/2001;4,5395
31/07/2001;4,5055
31/08/2001;4,4913
30/09/2001;3,9865
31/10/2001;3,9713
30/11/2001;3,5073
31/12/2001;3,3389
31/01/2002;3,2936
28/02/2002;3,283
31/03/2002;3,264
30/04/2002;3,3162
31/05/2002;3,31
30/06/2002;3,3485
31/07/2002;3,3017
31/08/2002;3,2927
30/09/2002;3,3186
31/10/2002;3,3004
30/11/2002;3,3043
31/12/2002;3,0945
31/01/2003;2,7868
28/02/2003;2,7635
31/03/2003;2,749
30/04/2003;2,5605
31/05/2003;2,5571
30/06/2003;2,2133
31/07/2003;2,0783
31/08/2003;2,0981
30/09/2003;2,0209
31/10/2003;2,0148
30/11/2003;1,973
31/12/2003;2,0567
31/01/2004;2,0214
29/02/2004;2,0315
31/03/2004;2,0057
30/04/2004;2,078
31/05/2004;2,0152
30/06/2004;2,0277
31/07/2004;2,0677
31/08/2004;2,0405
30/09/2004;2,0518
31/10/2004;2,1114
30/11/2004;2,085
31/12/2004;2,0535
31/01/2005;2,0771
28/02/2005;2,0585
31/03/2005;2,0567
