Date;IV;Delta;Gamma;Theta;Vega;Strike
09/13/21;0.36;0.5247;0.0282;-0.1481;0.0907;1000000
09/13/21;0.58;0.5219;0.0282;-0.1482;0.0908;1001000
09/13/21;0.78;0.5191;0.0282;-0.1482;0.0908;1002000
09/13/21;0.98;0.5163;0.0282;-0.1483;0.0908;1003000
09/13/21;1.17;0.5135;0.0282;-0.1483;0.0909;1004000
09/13/21;1.35;0.5107;0.0282;-0.1483;0.0909;1005000
09/13/21;1.53;0.5079;0.0282;-0.1484;0.0909;1006000
09/13/21;1.71;0.5051;0.0282;-0.1484;0.0909;1007000
09/13/21;1.88;0.5023;0.0282;-0.1484;0.0909;1008000
09/13/21;2.06;0.4995;0.0282;-0.1484;0.0909;1009000
09/13/21;2.23;0.4967;0.0282;-0.1484;0.0909;1010000
09/13/21;2.40;0.4939;0.0282;-0.1484;0.0909;1011000
09/13/21;2.56;0.4911;0.0282;-0.1483;0.0909;1012000
09/13/21;2.73;0.4883;0.0282;-0.1483;0.0909;1013000
09/13/21;3.06;0.4828;0.0282;-0.1482;0.0908;1015000
09/13/21;3.38;0.4772;0.0282;-0.1481;0.0908;1017000
09/13/21;3.86;0.4689;0.0282;-0.1479;0.0906;1020000
09/13/21;4.17;0.4634;0.0281;-0.1478;0.0905;1022000
09/13/21;4.64;0.4552;0.0281;-0.1475;0.0903;1025000
09/13/21;4.94;0.4497;0.0280;-0.1472;0.0902;1027000
09/13/21;5.40;0.4416;0.0279;-0.1468;0.0899;1030000
09/13/21;5.70;0.4362;0.0279;-0.1465;0.0897;1032000
09/13/21;6.14;0.4281;0.0278;-0.1460;0.0894;1035000
09/13/21;6.44;0.4228;0.0277;-0.1456;0.0892;1037000
09/13/21;6.87;0.4148;0.0276;-0.1450;0.0888;1040000
09/13/21;7.16;0.4095;0.0275;-0.1446;0.0886;1042000
09/13/21;7.59;0.4016;0.0274;-0.1439;0.0881;1045000
09/13/21;7.88;0.3964;0.0273;-0.1434;0.0878;1047000
09/13/21;8.30;0.3886;0.0271;-0.1426;0.0873;1050000
09/13/21;8.58;0.3835;0.0270;-0.1420;0.0870;1052000
09/13/21;9.01;0.3758;0.0269;-0.1412;0.0865;1055000
09/13/21;11.68;0.7610;0.0220;-0.1153;0.0707;912500
09/13/21;11.37;0.7549;0.0223;-0.1169;0.0716;915000
09/13/21;10.98;0.7488;0.0226;-0.1184;0.0726;917500
09/13/21;10.63;0.7426;0.0228;-0.1200;0.0735;920000
09/13/21;10.28;0.7364;0.0231;-0.1214;0.0744;922500
09/13/21;9.93;0.7301;0.0234;-0.1229;0.0753;925000
09/13/21;9.58;0.7238;0.0237;-0.1243;0.0762;927500
09/13/21;9.23;0.7174;0.0239;-0.1257;0.0770;930000
09/13/21;8.88;0.7109;0.0242;-0.1271;0.0779;932500
09/13/21;8.57;0.7044;0.0244;-0.1284;0.0787;935000
09/13/21;8.18;0.6979;0.0247;-0.1297;0.0795;937500
09/13/21;7.87;0.6913;0.0249;-0.1309;0.0802;940000
09/13/21;7.48;0.6846;0.0252;-0.1322;0.0810;942500
09/13/21;7.17;0.6780;0.0254;-0.1333;0.0817;945000
09/13/21;6.82;0.6712;0.0256;-0.1345;0.0824;947500
09/13/21;6.47;0.6645;0.0258;-0.1356;0.0831;950000
09/13/21;6.16;0.6577;0.0260;-0.1366;0.0837;952500
09/13/21;5.97;0.6542;0.0261;-0.1371;0.0840;953750
09/13/21;5.77;0.6508;0.0262;-0.1376;0.0843;955000
09/13/21;5.62;0.6474;0.0263;-0.1381;0.0846;956250
09/13/21;5.46;0.6440;0.0264;-0.1386;0.0849;957500
09/13/21;5.31;0.6405;0.0265;-0.1390;0.0852;958750
09/13/21;5.15;0.6371;0.0266;-0.1395;0.0855;960000
09/13/21;4.96;0.6336;0.0266;-0.1400;0.0858;961250
09/13/21;4.76;0.6301;0.0267;-0.1404;0.0860;962500
09/13/21;4.61;0.6267;0.0268;-0.1408;0.0863;963750
09/13/21;4.45;0.6232;0.0269;-0.1412;0.0865;965000
09/13/21;4.30;0.6197;0.0270;-0.1416;0.0868;966250
09/13/21;4.14;0.6162;0.0270;-0.1420;0.0870;967500
09/13/21;3.95;0.6127;0.0271;-0.1424;0.0873;968750
09/13/21;3.75;0.6093;0.0272;-0.1428;0.0875;970000
09/13/21;3.60;0.6058;0.0272;-0.1431;0.0877;971250
09/13/21;3.44;0.6022;0.0273;-0.1435;0.0879;972500
09/13/21;3.29;0.5987;0.0274;-0.1438;0.0881;973750
09/13/21;3.13;0.5952;0.0274;-0.1441;0.0883;975000
09/13/21;2.98;0.5917;0.0275;-0.1444;0.0885;976250
09/13/21;2.78;0.5882;0.0275;-0.1447;0.0887;977500
09/13/21;2.59;0.5847;0.0276;-0.1450;0.0889;978750
09/13/21;2.43;0.5812;0.0277;-0.1453;0.0890;980000
09/13/21;2.28;0.5776;0.0277;-0.1455;0.0892;981250
09/13/21;2.12;0.5741;0.0278;-0.1458;0.0893;982500
09/13/21;0.00;0.5724;0.0278;-0.1459;0.0894;983100
09/13/21;1.97;0.5706;0.0278;-0.1460;0.0895;983750
09/13/21;0.00;0.5690;0.0278;-0.1461;0.0895;984300
09/13/21;1.81;0.5671;0.0278;-0.1463;0.0896;985000
09/13/21;0.00;0.5654;0.0279;-0.1464;0.0897;985600
