Date;IV;Delta;Gamma;Theta;Vega;Strike
09/03/2021;0.00;0.9876;31.320;0.0000;0.0001;115.700
09/03/2021;2.59;0.9742;58.367;0.0000;0.0001;116.000
09/03/2021;0.00;0.9598;84.096;0.0000;0.0002;116.200
09/03/2021;4.30;0.9269;135.040;-0.0001;0.0003;116.500
09/03/2021;0.00;0.8954;176.295;-0.0001;0.0003;116.700
09/03/2021;4.53;0.8318;244.396;-0.0001;0.0005;117.000
09/03/2021;3.33;0.7780;289.459;-0.0002;0.0006;117.200
09/03/2021;4.41;0.6816;347.073;-0.0002;0.0007;117.500
09/03/2021;3.91;0.6091;373.393;-0.0002;0.0007;117.700
09/03/2021;4.34;0.4940;387.953;-0.0002;0.0007;118.000
09/03/2021;4.03;0.4171;379.582;-0.0002;0.0007;118.200
09/03/2021;4.24;0.3084;342.360;-0.0002;0.0007;118.500
09/03/2021;4.10;0.2439;305.008;-0.0002;0.0006;118.700
09/03/2021;4.49;0.1627;239.237;-0.0001;0.0005;119.000
09/03/2021;4.45;0.1198;194.299;-0.0001;0.0004;119.200
09/03/2021;4.76;0.0715;132.767;-0.0001;0.0003;119.500
09/03/2021;4.92;0.0488;98.413;-0.0001;0.0002;119.700
09/03/2021;5.08;0.0260;58.684;0.0000;0.0001;120.000
09/03/2021;6.01;0.0077;20.719;0.0000;0.0000;120.500
09/03/2021;6.94;0.0019;0.5859;0.0000;0.0000;121.000
10/08/2021;5.85;0.9827;18.757;0.0000;0.0002;113.500
10/08/2021;5.70;0.9703;29.627;0.0000;0.0003;114.000
10/08/2021;5.62;0.9513;44.343;0.0000;0.0004;114.500
10/08/2021;5.58;0.9239;62.930;0.0000;0.0006;115.000
10/08/2021;5.46;0.8861;84.741;0.0000;0.0008;115.500
10/08/2021;5.46;0.8369;108.348;-0.0001;0.0010;116.000
10/08/2021;5.33;0.7758;131.621;-0.0001;0.0012;116.500
10/08/2021;5.26;0.7039;152.017;-0.0001;0.0014;117.000
10/08/2021;5.21;0.6232;167.032;-0.0001;0.0016;117.500
10/08/2021;5.21;0.5371;174.712;-0.0001;0.0016;118.000
10/08/2021;5.16;0.4496;174.074;-0.0001;0.0016;118.500
10/08/2021;5.20;0.3648;165.309;-0.0001;0.0015;119.000
10/08/2021;5.23;0.2865;149.718;-0.0001;0.0014;119.500
10/08/2021;5.29;0.2175;129.397;-0.0001;0.0012;120.000
10/08/2021;5.35;0.1594;106.782;-0.0001;0.0010;120.500
10/08/2021;5.37;0.1128;84.188;-0.0001;0.0008;121.000
10/08/2021;5.58;0.0769;63.450;0.0000;0.0006;121.500
10/08/2021;5.58;0.0505;45.737;0.0000;0.0004;122.000
10/08/2021;5.77;0.0320;31.551;0.0000;0.0003;122.500
10/08/2021;5.70;0.0195;20.841;0.0000;0.0002;123.000
11/05/2021;5.74;0.9512;34.705;0.0000;0.0005;113.500
11/05/2021;5.68;0.9304;45.929;0.0000;0.0007;114.000
11/05/2021;5.62;0.9033;58.815;0.0000;0.0009;114.500
11/05/2021;5.52;0.8695;72.906;0.0000;0.0011;115.000
11/05/2021;5.46;0.8283;87.520;-0.0001;0.0013;115.500
11/05/2021;5.41;0.7800;101.787;-0.0001;0.0016;116.000
11/05/2021;5.38;0.7249;114.736;-0.0001;0.0018;116.500
11/05/2021;5.36;0.6640;125.399;-0.0001;0.0019;117.000
11/05/2021;5.32;0.5987;132.940;-0.0001;0.0020;117.500
11/05/2021;5.27;0.5309;136.755;-0.0001;0.0021;118.000
11/05/2021;5.29;0.4624;136.562;-0.0001;0.0021;118.500
11/05/2021;5.28;0.3954;132.426;-0.0001;0.0020;119.000
11/05/2021;5.29;0.3315;124.749;-0.0001;0.0019;119.500
11/05/2021;5.31;0.2724;114.202;-0.0001;0.0017;120.000
11/05/2021;5.34;0.2193;101.635;-0.0001;0.0016;120.500
11/05/2021;5.42;0.1729;87.963;-0.0001;0.0013;121.000
11/05/2021;5.42;0.1334;74.061;0.0000;0.0011;121.500
11/05/2021;5.56;0.1008;60.682;0.0000;0.0009;122.000
11/05/2021;5.60;0.0744;48.402;0.0000;0.0007;122.500
11/05/2021;5.62;0.0538;37.596;0.0000;0.0006;123.000
