Date;IV;Strike;;;;;;;;;;;
09/03/2021;0.00;115.000;;;;;;;;;;;
09/03/2021;0.00;115.200;;;;;;;;;;;
09/03/2021;2.59;115.500;;;;;;;;;;;
09/03/2021;0.00;115.700;;;;;;;;;;;
09/03/2021;4.76;116.000;;;;;;;;;;;
09/03/2021;0.00;116.200;;;;;;;;;;;
09/03/2021;5.00;116.500;;;;;;;;;;;
09/03/2021;4.14;116.700;;;;;;;;;;;
09/03/2021;4.96;117.000;;;;;;;;;;;
09/03/2021;4.41;117.200;;;;;;;;;;;
09/03/2021;4.82;117.500;;;;;;;;;;;
09/03/2021;4.57;117.700;;;;;;;;;;;
09/03/2021;4.96;118.000;;;;;;;;;;;
09/03/2021;4.86;118.200;;;;;;;;;;;
09/03/2021;5.19;118.500;;;;;;;;;;;
09/03/2021;5.08;118.700;;;;;;;;;;;
09/03/2021;5.50;119.000;;;;;;;;;;;
09/03/2021;5.46;119.200;;;;;;;;;;;
09/03/2021;5.62;119.500;;;;;;;;;;;
09/03/2021;5.54;119.700;;;;;;;;;;;
10/08/2021;6.09;113.000;;;;;;;;;;;
10/08/2021;6.16;113.500;;;;;;;;;;;
10/08/2021;5.77;114.000;;;;;;;;;;;
10/08/2021;5.70;114.500;;;;;;;;;;;
10/08/2021;5.58;115.000;;;;;;;;;;;
10/08/2021;5.50;115.500;;;;;;;;;;;
10/08/2021;5.46;116.000;;;;;;;;;;;
10/08/2021;5.37;116.500;;;;;;;;;;;
10/08/2021;5.36;117.000;;;;;;;;;;;
10/08/2021;5.34;117.500;;;;;;;;;;;
10/08/2021;5.30;118.000;;;;;;;;;;;
10/08/2021;5.29;118.500;;;;;;;;;;;
10/08/2021;5.33;119.000;;;;;;;;;;;
10/08/2021;5.39;119.500;;;;;;;;;;;
10/08/2021;5.46;120.000;;;;;;;;;;;
10/08/2021;5.48;120.500;;;;;;;;;;;
10/08/2021;5.62;121.000;;;;;;;;;;;
10/08/2021;5.77;121.500;;;;;;;;;;;
10/08/2021;5.77;122.000;;;;;;;;;;;
10/08/2021;5.89;122.500;;;;;;;;;;;
11/05/2021;6.05;113.000;;;;;;;;;;;
11/05/2021;5.93;113.500;;;;;;;;;;;
11/05/2021;5.74;114.000;;;;;;;;;;;
11/05/2021;5.66;114.500;;;;;;;;;;;
11/05/2021;5.60;115.000;;;;;;;;;;;
11/05/2021;5.54;115.500;;;;;;;;;;;
11/05/2021;5.47;116.000;;;;;;;;;;;
11/05/2021;5.42;116.500;;;;;;;;;;;
11/05/2021;5.37;117.000;;;;;;;;;;;
11/05/2021;5.36;117.500;;;;;;;;;;;
11/05/2021;5.36;118.000;;;;;;;;;;;
11/05/2021;5.35;118.500;;;;;;;;;;;
11/05/2021;5.36;119.000;;;;;;;;;;;
11/05/2021;5.37;119.500;;;;;;;;;;;
11/05/2021;5.39;120.000;;;;;;;;;;;
11/05/2021;5.43;120.500;;;;;;;;;;;
11/05/2021;5.49;121.000;;;;;;;;;;;
11/05/2021;5.60;121.500;;;;;;;;;;;
11/05/2021;5.68;122.000;;;;;;;;;;;
11/05/2021;5.77;122.500;;;;;;;;;;;
11/05/2021;5.83;113.000;;;;;;;;;;;
12/03/2021;5.74;113.500;;;;;;;;;;;
12/03/2021;5.71;114.000;;;;;;;;;;;
12/03/2021;5.58;114.500;;;;;;;;;;;
12/03/2021;5.55;115.000;;;;;;;;;;;
12/03/2021;5.47;115.500;;;;;;;;;;;
12/03/2021;5.43;116.000;;;;;;;;;;;
12/03/2021;5.42;116.500;;;;;;;;;;;
12/03/2021;5.37;117.000;;;;;;;;;;;
12/03/2021;5.33;117.500;;;;;;;;;;;
12/03/2021;5.33;118.000;;;;;;;;;;;
12/03/2021;5.33;118.500;;;;;;;;;;;
12/03/2021;5.34;119.000;;;;;;;;;;;
12/03/2021;5.31;119.500;;;;;;;;;;;
12/03/2021;5.35;120.000;;;;;;;;;;;
12/03/2021;5.38;120.500;;;;;;;;;;;
12/03/2021;5.41;121.000;;;;;;;;;;;
12/03/2021;5.52;121.500;;;;;;;;;;;
12/03/2021;5.54;122.000;;;;;;;;;;;
12/03/2021;5.64;122.500;;;;;;;;;;;
12/03/2021;5.81;113.000;;;;;;;;;;;
01/07/2022;5.74;113.500;;;;;;;;;;;
01/07/2022;5.72;114.000;;;;;;;;;;;
01/07/2022;5.61;114.500;;;;;;;;;;;
01/07/2022;5.59;115.000;;;;;;;;;;;
01/07/2022;5.54;115.500;;;;;;;;;;;
01/07/2022;5.49;116.000;;;;;;;;;;;
01/07/2022;5.43;116.500;;;;;;;;;;;
01/07/2022;5.41;117.000;;;;;;;;;;;
01/07/2022;5.37;117.500;;;;;;;;;;;
01/07/2022;5.35;118.000;;;;;;;;;;;
01/07/2022;5.34;118.500;;;;;;;;;;;
01/07/2022;5.35;119.000;;;;;;;;;;;
01/07/2022;5.34;119.500;;;;;;;;;;;
01/07/2022;5.39;120.000;;;;;;;;;;;
01/07/2022;5.40;120.500;;;;;;;;;;;
01/07/2022;5.45;121.000;;;;;;;;;;;
01/07/2022;5.47;121.500;;;;;;;;;;;
01/07/2022;5.52;122.000;;;;;;;;;;;
01/07/2022;5.61;122.500;;;;;;;;;;;
02/04/2022;5.81;113.000;;;;;;;;;;;
02/04/2022;5.75;113.500;;;;;;;;;;;
02/04/2022;5.72;114.000;;;;;;;;;;;
02/04/2022;5.62;114.500;;;;;;;;;;;
02/04/2022;5.60;115.000;;;;;;;;;;;
02/04/2022;5.55;115.500;;;;;;;;;;;
02/04/2022;5.51;116.000;;;;;;;;;;;
02/04/2022;5.46;116.500;;;;;;;;;;;
02/04/2022;5.42;117.000;;;;;;;;;;;
02/04/2022;5.41;117.500;;;;;;;;;;;
02/04/2022;5.38;118.000;;;;;;;;;;;
02/04/2022;5.37;118.500;;;;;;;;;;;
02/04/2022;5.36;119.000;;;;;;;;;;;
02/04/2022;5.37;119.500;;;;;;;;;;;
02/04/2022;5.40;120.000;;;;;;;;;;;
02/04/2022;5.41;120.500;;;;;;;;;;;
02/04/2022;5.45;121.000;;;;;;;;;;;
02/04/2022;5.46;121.500;;;;;;;;;;;
02/04/2022;5.50;122.000;;;;;;;;;;;
02/04/2022;5.58;122.500;;;;;;;;;;;
03/04/2022;5.81;113.000;;;;;;;;;;;
03/04/2022;5.75;113.500;;;;;;;;;;;
