Date;IV;Delta;Gamma;Theta;Vega;Strike
09/17/21;19.35;0.9527;0.0007;-0.3143;10.355;3950.00
09/17/21;18.48;0.9322;0.0009;-0.4179;13.765;3975.00
09/17/21;17.66;0.9055;0.0011;-0.5371;17.689;4000.00
09/17/21;16.82;0.8720;0.0014;-0.6679;21.989;4025.00
09/17/21;16.00;0.8313;0.0017;-0.8038;26.458;4050.00
09/17/21;15.19;0.7834;0.0020;-0.9370;30.830;4075.00
09/17/21;14.36;0.7289;0.0023;-10.584;34.814;4100.00
09/17/21;13.54;0.6686;0.0025;-11.592;38.116;4125.00
09/17/21;12.72;0.6040;0.0026;-12.317;40.485;4150.00
09/17/21;11.90;0.5369;0.0027;-12.704;41.740;4175.00
09/17/21;11.09;0.4690;0.0027;-12.726;41.793;4200.00
09/17/21;10.29;0.4025;0.0026;-12.388;40.661;4225.00
09/17/21;9.56;0.3390;0.0025;-11.725;38.458;4250.00
09/17/21;9.01;0.2801;0.0023;-10.796;35.380;4275.00
09/17/21;8.71;0.2270;0.0021;-0.9674;31.674;4300.00
09/17/21;8.59;0.1804;0.0018;-0.8443;27.607;4325.00
09/17/21;8.62;0.1404;0.0015;-0.7179;23.438;4350.00
09/17/21;8.96;0.1072;0.0013;-0.5952;19.390;4375.00
09/17/21;9.33;0.0801;0.0010;-0.4814;15.640;4400.00
09/17/21;9.68;0.0587;0.0008;-0.3802;12.303;4425.00
10/15/21;21.83;0.8706;0.0010;-0.4511;32.765;3925.00
10/15/21;21.09;0.8434;0.0011;-0.5135;37.289;3950.00
10/15/21;20.36;0.8128;0.0012;-0.5757;41.793;3975.00
10/15/21;19.62;0.7790;0.0014;-0.6359;46.142;4000.00
10/15/21;18.89;0.7422;0.0015;-0.6920;50.198;4025.00
10/15/21;18.16;0.7027;0.0016;-0.7422;53.825;4050.00
10/15/21;17.43;0.6609;0.0017;-0.7849;56.899;4075.00
10/15/21;16.72;0.6173;0.0017;-0.8185;59.314;4100.00
10/15/21;16.03;0.5724;0.0018;-0.8420;60.990;4125.00
10/15/21;15.34;0.5269;0.0018;-0.8546;61.875;4150.00
10/15/21;14.69;0.4813;0.0018;-0.8560;61.948;4175.00
10/15/21;14.05;0.4361;0.0018;-0.8464;61.221;4200.00
10/15/21;13.44;0.3921;0.0018;-0.8264;59.735;4225.00
10/15/21;12.81;0.3497;0.0017;-0.7968;57.560;4250.00
10/15/21;12.27;0.3092;0.0016;-0.7590;54.786;4275.00
10/15/21;11.80;0.2712;0.0015;-0.7143;51.518;4300.00
10/15/21;11.34;0.2359;0.0014;-0.6645;47.873;4325.00
10/15/21;10.97;0.2034;0.0013;-0.6110;43.970;4350.00
10/15/21;10.65;0.1740;0.0012;-0.5555;39.925;4375.00
10/15/21;10.41;0.1475;0.0011;-0.4996;35.845;4400.00
11/19/21;19.95;0.8115;0.0010;-0.4453;54.493;3925.00
11/19/21;19.45;0.7853;0.0010;-0.4816;58.913;3950.00
11/19/21;18.94;0.7573;0.0011;-0.5161;63.116;3975.00
11/19/21;18.44;0.7277;0.0012;-0.5482;67.018;4000.00
