Date;IV;Delta;Gamma;Theta;Vega;Strike
09/27/21;73.28;10.000;0.0000;0.0000;0.0000;1000.00
09/27/21;70.39;10.000;0.0000;0.0000;0.0000;1025.00
09/27/21;67.57;10.000;0.0000;0.0000;0.0000;1050.00
09/27/21;64.81;10.000;0.0000;0.0000;0.0000;1075.00
09/27/21;62.11;10.000;0.0000;0.0000;0.0000;1100.00
09/27/21;59.47;10.000;0.0000;0.0000;0.0000;1125.00
09/27/21;56.89;10.000;0.0000;0.0000;0.0000;1150.00
09/27/21;54.36;10.000;0.0000;0.0000;0.0000;1175.00
09/27/21;51.88;10.000;0.0000;0.0000;0.0000;1200.00
09/27/21;50.90;10.000;0.0000;0.0000;0.0000;1210.00
09/27/21;49.93;10.000;0.0000;0.0000;0.0000;1220.00
09/27/21;49.45;10.000;0.0000;0.0000;0.0000;1225.00
09/27/21;48.97;10.000;0.0000;0.0000;0.0000;1230.00
09/27/21;48.01;10.000;0.0000;0.0000;0.0000;1240.00
09/27/21;47.07;10.000;0.0000;0.0000;0.0000;1250.00
09/27/21;46.12;10.000;0.0000;0.0000;0.0000;1260.00
09/27/21;45.19;10.000;0.0000;0.0000;0.0000;1270.00
09/27/21;44.72;10.000;0.0000;0.0000;0.0000;1275.00
09/27/21;44.26;10.000;0.0000;0.0000;0.0000;1280.00
09/27/21;43.34;10.000;0.0000;0.0000;0.0000;1290.00
09/27/21;42.88;10.000;0.0000;0.0000;0.0000;1295.00
09/27/21;42.42;10.000;0.0000;0.0000;0.0000;1300.00
09/27/21;41.97;10.000;0.0000;0.0000;0.0000;1305.00
09/27/21;41.51;10.000;0.0000;0.0000;0.0000;1310.00
09/27/21;41.06;10.000;0.0000;0.0000;0.0000;1315.00
09/27/21;40.61;10.000;0.0000;0.0000;0.0000;1320.00
09/27/21;40.16;10.000;0.0000;0.0000;0.0000;1325.00
09/27/21;39.71;10.000;0.0000;0.0000;0.0000;1330.00
09/27/21;39.27;10.000;0.0000;0.0000;0.0000;1335.00
09/27/21;38.82;10.000;0.0000;0.0000;0.0000;1340.00
09/27/21;38.38;10.000;0.0000;0.0000;0.0000;1345.00
09/27/21;37.94;10.000;0.0000;0.0000;0.0000;1350.00
09/27/21;37.50;10.000;0.0000;0.0000;0.0000;1355.00
09/27/21;37.06;10.000;0.0000;0.0000;0.0000;1360.00
09/27/21;36.62;10.000;0.0000;0.0000;0.0000;1365.00
09/27/21;36.18;10.000;0.0000;0.0000;0.0000;1370.00
09/27/21;35.75;10.000;0.0000;0.0000;0.0000;1375.00
09/27/21;35.31;10.000;0.0000;0.0000;0.0000;1380.00
09/27/21;34.88;10.000;0.0000;0.0000;0.0000;1385.00
09/27/21;34.45;10.000;0.0000;0.0000;0.0000;1390.00
09/27/21;34.02;10.000;0.0000;0.0000;0.0000;1395.00
09/27/21;33.59;10.000;0.0000;0.0000;0.0000;1400.00
09/27/21;33.17;10.000;0.0000;0.0000;0.0000;1405.00
09/27/21;32.74;10.000;0.0000;0.0000;0.0000;1410.00
09/27/21;32.32;10.000;0.0000;0.0000;0.0000;1415.00
09/27/21;31.89;10.000;0.0000;0.0000;0.0000;1420.00
09/27/21;31.47;10.000;0.0000;0.0000;0.0000;1425.00
09/27/21;31.05;10.000;0.0000;0.0000;0.0000;1430.00
09/27/21;30.63;10.000;0.0000;0.0000;0.0000;1435.00
09/27/21;30.21;10.000;0.0000;0.0000;0.0000;1440.00
09/27/21;29.79;10.000;0.0000;0.0000;0.0000;1445.00
09/27/21;29.38;10.000;0.0000;0.0000;0.0000;1450.00
09/27/21;28.96;10.000;0.0000;0.0000;0.0000;1455.00
09/27/21;28.55;10.000;0.0000;0.0000;0.0000;1460.00
09/27/21;28.14;10.000;0.0000;0.0000;0.0000;1465.00
09/27/21;27.72;10.000;0.0000;0.0000;0.0000;1470.00
09/27/21;27.31;10.000;0.0000;0.0000;0.0000;1475.00
09/27/21;26.90;10.000;0.0000;0.0000;0.0000;1480.00
09/27/21;28.33;10.000;0.0000;0.0000;0.0000;1485.00
09/27/21;27.90;10.000;0.0000;0.0000;0.0000;1490.00
09/27/21;27.47;10.000;0.0000;0.0000;0.0000;1495.00
09/27/21;27.04;10.000;0.0000;0.0000;0.0000;1500.00
09/27/21;26.62;10.000;0.0000;0.0000;0.0000;1505.00
09/27/21;26.19;10.000;0.0000;0.0000;0.0000;1510.00
09/27/21;25.76;10.000;0.0000;0.0000;0.0000;1515.00
09/27/21;25.34;10.000;0.0000;0.0000;0.0001;1520.00
09/27/21;24.92;10.000;0.0000;0.0000;0.0001;1525.00
09/27/21;25.63;10.000;0.0000;0.0000;0.0001;1530.00
09/27/21;25.20;10.000;0.0000;0.0000;0.0002;1535.00
09/27/21;24.76;10.000;0.0000;-0.0001;0.0002;1540.00
09/27/21;24.33;0.9999;0.0000;-0.0001;0.0003;1545.00
09/27/21;23.89;0.9999;0.0000;-0.0001;0.0005;1550.00
09/27/21;23.46;0.9999;0.0000;-0.0002;0.0007;1555.00
09/27/21;23.85;0.9999;0.0000;-0.0002;0.0009;1560.00
09/27/21;23.41;0.9999;0.0000;-0.0003;0.0013;1565.00
09/27/21;22.97;0.9999;0.0000;-0.0004;0.0018;1570.00
09/27/21;22.52;0.9998;0.0000;-0.0006;0.0024;1575.00
09/27/21;22.74;0.9998;0.0000;-0.0008;0.0032;1580.00
09/27/21;22.29;0.9997;0.0000;-0.0011;0.0043;1585.00
09/27/21;21.83;0.9997;0.0000;-0.0014;0.0057;1590.00
09/27/21;21.38;0.9996;0.0000;-0.0019;0.0075;1595.00
09/27/21;21.47;0.9994;0.0000;-0.0024;0.0098;1600.00
09/27/21;21.01;0.9992;0.0000;-0.0032;0.0126;1605.00
09/27/21;21.02;0.9990;0.0000;-0.0041;0.0162;1610.00
09/27/21;20.56;0.9987;0.0001;-0.0052;0.0207;1615.00
09/27/21;20.51;0.9984;0.0001;-0.0066;0.0262;1620.00
09/27/21;20.03;0.9979;0.0001;-0.0083;0.0330;1625.00
09/27/21;19.93;0.9973;0.0001;-0.0103;0.0412;1630.00
09/27/21;19.45;0.9966;0.0001;-0.0128;0.0511;1635.00
09/27/21;19.30;0.9957;0.0002;-0.0158;0.0630;1640.00
09/27/21;19.12;0.9946;0.0002;-0.0194;0.0772;1645.00
09/27/21;18.63;0.9933;0.0003;-0.0236;0.0938;1650.00
09/27/21;18.41;0.9917;0.0003;-0.0285;0.1134;1655.00
09/27/21;18.18;0.9898;0.0004;-0.0342;0.1361;1660.00
09/27/21;17.92;0.9875;0.0005;-0.0407;0.1622;1665.00
09/27/21;17.64;0.9848;0.0005;-0.0483;0.1922;1670.00
09/27/21;17.34;0.9816;0.0006;-0.0568;0.2263;1675.00
09/27/21;17.02;0.9779;0.0007;-0.0665;0.2647;1680.00
09/27/21;16.88;0.9736;0.0009;-0.0773;0.3076;1685.00
09/27/21;16.52;0.9686;0.0010;-0.0893;0.3554;1690.00
09/27/21;16.32;0.9628;0.0011;-0.1025;0.4080;1695.00
09/27/21;16.08;0.9563;0.0013;-0.1170;0.4655;1700.00
09/27/21;15.82;0.9488;0.0015;-0.1327;0.5280;1705.00
09/27/21;15.53;0.9405;0.0017;-0.1496;0.5952;1710.00
09/27/21;15.34;0.9311;0.0019;-0.1677;0.6671;1715.00
09/27/21;15.11;0.9206;0.0021;-0.1868;0.7431;1720.00
09/27/21;14.85;0.9090;0.0023;-0.2069;0.8230;1725.00
09/27/21;14.66;0.8963;0.0025;-0.2278;0.9063;1730.00
09/27/21;14.43;0.8823;0.0028;-0.2495;0.9922;1735.00
09/27/21;14.25;0.8671;0.0030;-0.2716;10.800;1740.00
09/27/21;14.11;0.8506;0.0033;-0.2940;11.690;1745.00
09/27/21;13.92;0.8329;0.0035;-0.3165;12.583;1750.00
09/27/21;13.75;0.8140;0.0038;-0.3388;13.468;1755.00
09/27/21;13.61;0.7938;0.0040;-0.3607;14.336;1760.00
09/27/21;13.40;0.7725;0.0043;-0.3819;15.177;1765.00
09/27/21;13.28;0.7500;0.0045;-0.4021;15.980;1770.00
09/27/21;13.21;0.7265;0.0047;-0.4212;16.735;1775.00
09/27/21;13.07;0.7020;0.0049;-0.4388;17.433;1780.00
09/27/21;12.99;0.6766;0.0051;-0.4548;18.064;1785.00
09/27/21;12.88;0.6504;0.0052;-0.4688;18.619;1790.00
09/27/21;12.82;0.6236;0.0054;-0.4808;19.092;1795.00
09/27/21;12.73;0.5962;0.0055;-0.4906;19.476;1800.00
09/27/21;12.72;0.5684;0.0056;-0.4979;19.767;1805.00
09/27/21;12.68;0.5404;0.0056;-0.5029;19.960;1810.00
09/27/21;12.66;0.5123;0.0056;-0.5054;20.053;1815.00
09/27/21;12.67;0.4841;0.0056;-0.5053;20.047;1820.00
09/27/21;12.70;0.4562;0.0056;-0.5027;19.942;1825.00
09/27/21;12.70;0.4285;0.0055;-0.4978;19.740;1830.00
09/27/21;12.73;0.4012;0.0055;-0.4904;19.445;1835.00
09/27/21;12.78;0.3745;0.0054;-0.4809;19.062;1840.00
09/27/21;12.82;0.3484;0.0052;-0.4693;18.597;1845.00
09/27/21;12.84;0.3231;0.0051;-0.4558;18.057;1850.00
09/27/21;12.90;0.2987;0.0049;-0.4407;17.451;1855.00
09/27/21;12.95;0.2752;0.0047;-0.4240;16.786;1860.00
09/27/21;13.06;0.2527;0.0045;-0.4061;16.072;1865.00
09/27/21;13.18;0.2312;0.0043;-0.3872;15.317;1870.00
09/27/21;13.23;0.2109;0.0041;-0.3675;14.532;1875.00
09/27/21;13.37;0.1917;0.0039;-0.3473;13.724;1880.00
09/27/21;13.45;0.1737;0.0036;-0.3267;12.903;1885.00
09/27/21;13.65;0.1568;0.0034;-0.3060;12.077;1890.00
09/27/21;13.71;0.1411;0.0032;-0.2853;11.255;1895.00
09/27/21;13.90;0.1266;0.0029;-0.2649;10.442;1900.00
09/27/21;14.05;0.1131;0.0027;-0.2450;0.9646;1905.00
09/27/21;14.27;0.1007;0.0025;-0.2255;0.8872;1910.00
09/27/21;14.46;0.0894;0.0023;-0.2068;0.8126;1915.00
09/27/21;14.61;0.0791;0.0021;-0.1888;0.7411;1920.00
09/27/21;14.85;0.0697;0.0019;-0.1717;0.6730;1925.00
09/27/21;14.93;0.0612;0.0017;-0.1555;0.6086;1930.00
09/27/21;15.11;0.0536;0.0015;-0.1403;0.5482;1935.00
09/27/21;15.42;0.0468;0.0014;-0.1261;0.4916;1940.00
09/27/21;15.55;0.0407;0.0012;-0.1130;0.4392;1945.00
09/27/21;15.83;0.0352;0.0011;-0.1008;0.3907;1950.00
09/27/21;16.09;0.0304;0.0010;-0.0896;0.3462;1955.00
09/27/21;16.13;0.0262;0.0009;-0.0794;0.3055;1960.00
09/27/21;16.34;0.0225;0.0008;-0.0701;0.2686;1965.00
09/27/21;16.53;0.0192;0.0007;-0.0617;0.2352;1970.00
09/27/21;16.95;0.0164;0.0006;-0.0541;0.2051;1975.00
09/27/21;17.11;0.0139;0.0005;-0.0474;0.1782;1980.00
09/27/21;17.26;0.0118;0.0004;-0.0413;0.1543;1985.00
09/27/21;17.37;0.0099;0.0004;-0.0360;0.1330;1990.00
09/27/21;17.76;0.0083;0.0003;-0.0313;0.1143;1995.00
09/27/21;17.84;0.0070;0.0003;-0.0271;0.0978;2000.00
09/27/21;18.22;0.0058;0.0002;-0.0235;0.0834;2005.00
09/27/21;18.26;0.0049;0.0002;-0.0204;0.0708;2010.00
09/27/21;18.63;0.0040;0.0002;-0.0176;0.0599;2015.00
09/27/21;18.62;0.0033;0.0001;-0.0153;0.0506;2020.00
09/27/21;18.98;0.0027;0.0001;-0.0133;0.0425;2025.00
09/27/21;19.34;0.0023;0.0001;-0.0115;0.0356;2030.00
09/27/21;19.26;0.0018;0.0001;-0.0100;0.0297;2035.00
09/27/21;19.62;0.0015;0.0001;-0.0088;0.0247;2040.00
09/27/21;19.96;0.0012;0.0001;-0.0077;0.0204;2045.00
09/27/21;20.31;0.0010;0.0000;-0.0068;0.0169;2050.00
09/27/21;20.14;0.0008;0.0000;-0.0061;0.0139;2055.00
09/27/21;20.48;0.0006;0.0000;-0.0055;0.0114;2060.00
09/27/21;20.82;0.0005;0.0000;-0.0049;0.0093;2065.00
09/27/21;21.15;0.0004;0.0000;-0.0045;0.0076;2070.00
09/27/21;20.87;0.0003;0.0000;-0.0042;0.0062;2075.00
09/27/21;21.19;0.0003;0.0000;-0.0039;0.0050;2080.00
09/27/21;21.51;0.0002;0.0000;-0.0036;0.0040;2085.00
09/27/21;21.83;0.0002;0.0000;-0.0034;0.0032;2090.00
09/27/21;22.15;0.0001;0.0000;-0.0033;0.0026;2095.00
09/27/21;22.47;0.0001;0.0000;-0.0032;0.0021;2100.00
09/27/21;22.79;0.0001;0.0000;-0.0031;0.0016;2105.00
09/27/21;22.31;0.0001;0.0000;-0.0030;0.0013;2110.00
09/27/21;22.61;0.0000;0.0000;-0.0029;0.0010;2115.00
09/27/21;22.92;0.0000;0.0000;-0.0029;0.0008;2120.00
09/27/21;23.22;0.0000;0.0000;-0.0028;0.0006;2125.00
09/27/21;23.53;0.0000;0.0000;-0.0028;0.0005;2130.00
09/27/21;23.83;0.0000;0.0000;-0.0028;0.0004;2135.00
09/27/21;24.13;0.0000;0.0000;-0.0028;0.0003;2140.00
09/27/21;24.43;0.0000;0.0000;-0.0028;0.0002;2145.00
09/27/21;24.72;0.0000;0.0000;-0.0028;0.0002;2150.00
09/27/21;25.02;0.0000;0.0000;-0.0028;0.0001;2155.00
09/27/21;24.19;0.0000;0.0000;-0.0027;0.0001;2160.00
09/27/21;24.48;0.0000;0.0000;-0.0027;0.0001;2165.00
09/27/21;24.76;0.0000;0.0000;-0.0028;0.0001;2170.00
09/27/21;25.04;0.0000;0.0000;-0.0028;0.0000;2175.00
09/27/21;25.32;0.0000;0.0000;-0.0028;0.0000;2180.00
09/27/21;25.60;0.0000;0.0000;-0.0028;0.0000;2185.00
09/27/21;25.88;0.0000;0.0000;-0.0028;0.0000;2190.00
09/27/21;26.16;0.0000;0.0000;-0.0028;0.0000;2195.00
09/27/21;26.44;0.0000;0.0000;-0.0028;0.0000;2200.00
09/27/21;26.71;0.0000;0.0000;-0.0028;0.0000;2205.00
09/27/21;26.99;0.0000;0.0000;-0.0028;0.0000;2210.00
09/27/21;27.26;0.0000;0.0000;-0.0028;0.0000;2215.00
09/27/21;27.53;0.0000;0.0000;-0.0028;0.0000;2220.00
09/27/21;27.81;0.0000;0.0000;-0.0028;0.0000;2225.00
09/27/21;28.08;0.0000;0.0000;-0.0028;0.0000;2230.00
09/27/21;28.35;0.0000;0.0000;-0.0028;0.0000;2235.00
09/27/21;28.62;0.0000;0.0000;-0.0028;0.0000;2240.00
09/27/21;28.89;0.0000;0.0000;-0.0028;0.0000;2245.00
09/27/21;29.15;0.0000;0.0000;-0.0028;0.0000;2250.00
09/27/21;29.42;0.0000;0.0000;-0.0028;0.0000;2255.00
09/27/21;29.69;0.0000;0.0000;-0.0028;0.0000;2260.00
09/27/21;29.95;0.0000;0.0000;-0.0029;0.0000;2265.00
09/27/21;30.22;0.0000;0.0000;-0.0029;0.0000;2270.00
09/27/21;30.48;0.0000;0.0000;-0.0029;0.0000;2275.00
09/27/21;28.73;0.0000;0.0000;-0.0029;0.0000;2280.00
09/27/21;28.97;0.0000;0.0000;-0.0029;0.0000;2285.00
09/27/21;29.22;0.0000;0.0000;-0.0029;0.0000;2290.00
09/27/21;29.47;0.0000;0.0000;-0.0029;0.0000;2295.00
09/27/21;29.71;0.0000;0.0000;-0.0029;0.0000;2300.00
09/27/21;29.96;0.0000;0.0000;-0.0029;0.0000;2305.00
09/27/21;30.20;0.0000;0.0000;-0.0029;0.0000;2310.00
09/27/21;30.69;0.0000;0.0000;-0.0029;0.0000;2320.00
09/27/21;30.93;0.0000;0.0000;-0.0029;0.0000;2325.00
09/27/21;31.17;0.0000;0.0000;-0.0029;0.0000;2330.00
09/27/21;31.65;0.0000;0.0000;-0.0029;0.0000;2340.00
09/27/21;32.13;0.0000;0.0000;-0.0030;0.0000;2350.00
09/27/21;32.60;0.0000;0.0000;-0.0030;0.0000;2360.00
09/27/21;33.07;0.0000;0.0000;-0.0030;0.0000;2370.00
09/27/21;33.31;0.0000;0.0000;-0.0030;0.0000;2375.00
09/27/21;33.54;0.0000;0.0000;-0.0030;0.0000;2380.00
09/27/21;34.01;0.0000;0.0000;-0.0030;0.0000;2390.00
09/27/21;34.47;0.0000;0.0000;-0.0030;0.0000;2400.00
09/27/21;34.93;0.0000;0.0000;-0.0030;0.0000;2410.00
09/27/21;35.62;0.0000;0.0000;-0.0031;0.0000;2425.00
09/27/21;36.75;0.0000;0.0000;-0.0031;0.0000;2450.00
09/27/21;37.87;0.0000;0.0000;-0.0031;0.0000;2475.00
09/27/21;38.97;0.0000;0.0000;-0.0032;0.0000;2500.00
09/27/21;40.06;0.0000;0.0000;-0.0032;0.0000;2525.00
09/27/21;41.13;0.0000;0.0000;-0.0032;0.0000;2550.00
09/27/21;42.19;0.0000;0.0000;-0.0032;0.0000;2575.00
09/27/21;43.24;0.0000;0.0000;-0.0033;0.0000;2600.00
09/27/21;44.27;0.0000;0.0000;-0.0033;0.0000;2625.00
09/27/21;45.29;0.0000;0.0000;-0.0033;0.0000;2650.00
09/27/21;46.30;0.0000;0.0000;-0.0034;0.0000;2675.00
09/27/21;47.30;0.0000;0.0000;-0.0034;0.0000;2700.00
09/27/21;48.29;0.0000;0.0000;-0.0034;0.0000;2725.00
09/27/21;49.26;0.0000;0.0000;-0.0035;0.0000;2750.00
09/27/21;50.22;0.0000;0.0000;-0.0035;0.0000;2775.00
09/27/21;51.18;0.0000;0.0000;-0.0035;0.0000;2800.00
09/27/21;52.12;0.0000;0.0000;-0.0036;0.0000;2825.00
09/27/21;53.05;0.0000;0.0000;-0.0036;0.0000;2850.00
09/27/21;53.98;0.0000;0.0000;-0.0036;0.0000;2875.00
09/27/21;54.89;0.0000;0.0000;-0.0037;0.0000;2900.00
09/27/21;55.79;0.0000;0.0000;-0.0037;0.0000;2925.00
09/27/21;56.69;0.0000;0.0000;-0.0037;0.0000;2950.00
09/27/21;57.57;0.0000;0.0000;-0.0037;0.0000;2975.00
09/27/21;58.44;0.0000;0.0000;-0.0038;0.0000;3000.00
09/27/21;61.86;0.0000;0.0000;-0.0039;0.0000;3100.00
09/27/21;65.15;0.0000;0.0000;-0.0040;0.0000;3200.00
09/27/21;68.32;0.0000;0.0000;-0.0042;0.0000;3300.00
09/27/21;71.37;0.0000;0.0000;-0.0043;0.0000;3400.00
09/27/21;74.32;0.0000;0.0000;-0.0044;0.0000;3500.00
09/27/21;77.18;0.0000;0.0000;-0.0045;0.0000;3600.00
09/27/21;79.94;0.0000;0.0000;-0.0047;0.0000;3700.00
09/27/21;82.62;0.0000;0.0000;-0.0048;0.0000;3800.00
09/27/21;85.22;0.0000;0.0000;-0.0049;0.0000;3900.00
09/27/21;87.74;0.0000;0.0000;-0.0050;0.0000;4000.00
10/26/21;73.28;10.000;0.0000;0.0000;0.0000;1000.00
10/26/21;70.39;10.000;0.0000;0.0000;0.0000;1025.00
10/26/21;67.57;10.000;0.0000;0.0000;0.0000;1050.00
10/26/21;64.81;10.000;0.0000;0.0000;0.0000;1075.00
10/26/21;62.11;10.000;0.0000;0.0000;0.0000;1100.00
10/26/21;59.47;10.000;0.0000;0.0000;0.0000;1125.00
10/26/21;56.89;10.000;0.0000;0.0000;0.0000;1150.00
