Date;IV;Delta;Gamma;Theta;Vega;Strike
10/15/21;66.46;0.9999;0.0000;0.0000;0.0000;36.00
10/15/21;68.82;0.0000;0.0000;0.0000;0.0000;36.50
10/15/21;67.44;0.0000;0.0000;0.0000;0.0000;37.00
10/15/21;66.08;0.0000;0.0000;0.0000;0.0000;37.50
10/15/21;64.72;0.0000;0.0000;0.0000;0.0000;38.00
10/15/21;63.39;0.0000;0.0000;0.0000;0.0000;38.50
10/15/21;62.07;0.0000;0.0000;0.0000;0.0000;39.00
10/15/21;60.77;0.0000;0.0000;0.0000;0.0000;39.50
10/15/21;60.02;0.9999;0.0000;0.0000;0.0000;40.00
10/15/21;61.43;0.9999;0.0000;0.0000;0.0000;40.50
10/15/21;60.10;0.9999;0.0000;0.0000;0.0000;41.00
10/15/21;58.43;0.0000;0.0000;0.0000;0.0000;41.50
10/15/21;57.50;0.9999;0.0000;0.0000;0.0000;42.00
10/15/21;56.22;0.9999;0.0000;0.0000;0.0000;42.50
10/15/21;56.92;0.9999;0.0000;0.0000;0.0000;43.00
10/15/21;55.63;0.9999;0.0000;0.0000;0.0000;43.50
10/15/21;54.36;0.9999;0.0000;0.0000;0.0000;44.00
10/15/21;53.09;0.9999;0.0000;0.0000;0.0000;44.50
10/15/21;53.38;0.9999;0.0000;0.0000;0.0000;45.00
10/15/21;52.12;0.9999;0.0000;0.0000;0.0000;45.50
10/15/21;52.16;0.9999;0.0000;0.0000;0.0001;46.00
10/15/21;50.74;-0.0001;0.0001;0.0000;0.0001;46.50
10/15/21;50.62;-0.0001;0.0001;0.0000;0.0001;47.00
10/15/21;49.49;0.9997;0.0001;-0.0001;0.0002;47.50
10/15/21;49.21;0.9996;0.0002;-0.0001;0.0003;48.00
10/15/21;47.94;0.9995;0.0002;-0.0001;0.0004;48.50
10/15/21;47.56;0.9993;0.0003;-0.0002;0.0005;49.00
10/15/21;47.09;0.9990;0.0004;-0.0002;0.0007;49.50
10/15/21;46.55;0.9987;0.0006;-0.0003;0.0010;50.00
10/15/21;45.96;0.9982;0.0008;-0.0004;0.0013;50.50
10/15/21;45.31;0.9977;0.0010;-0.0006;0.0017;51.00
10/15/21;44.61;0.9969;0.0013;-0.0007;0.0022;51.50
10/15/21;44.41;0.9959;0.0017;-0.0009;0.0029;52.00
10/15/21;43.61;0.9947;0.0021;-0.0012;0.0037;52.50
10/15/21;43.24;0.9932;0.0027;-0.0015;0.0046;53.00
10/15/21;42.79;0.9913;0.0033;-0.0018;0.0057;53.50
10/15/21;42.26;0.9889;0.0041;-0.0023;0.0070;54.00
10/15/21;41.66;0.9861;0.0049;-0.0027;0.0086;54.50
10/15/21;41.35;0.9827;0.0060;-0.0033;0.0103;55.00
10/15/21;40.95;0.9787;0.0071;-0.0040;0.0124;55.50
10/15/21;40.46;0.9739;0.0085;-0.0047;0.0146;56.00
10/15/21;39.89;0.9684;0.0099;-0.0055;0.0172;56.50
10/15/21;39.52;0.9619;0.0116;-0.0064;0.0200;57.00
10/15/21;39.06;0.9545;0.0134;-0.0074;0.0232;57.50
10/15/21;38.74;0.9460;0.0153;-0.0085;0.0265;58.00
10/15/21;38.33;0.9364;0.0174;-0.0097;0.0302;58.50
10/15/21;38.02;0.9256;0.0197;-0.0109;0.0341;59.00
10/15/21;37.62;0.9136;0.0220;-0.0122;0.0381;59.50
10/15/21;37.12;0.9004;0.0245;-0.0136;0.0424;60.00
10/15/21;36.88;0.8858;0.0270;-0.0150;0.0468;60.50
10/15/21;36.36;0.8699;0.0296;-0.0164;0.0513;61.00
10/15/21;36.06;0.8527;0.0322;-0.0179;0.0558;61.50
10/15/21;35.65;0.8341;0.0348;-0.0194;0.0603;62.00
10/15/21;35.43;0.8143;0.0374;-0.0208;0.0648;62.50
10/15/21;35.08;0.7933;0.0399;-0.0222;0.0692;63.00
10/15/21;34.63;0.7711;0.0424;-0.0235;0.0734;63.50
10/15/21;34.32;0.7478;0.0447;-0.0248;0.0774;64.00
10/15/21;34.01;0.7235;0.0468;-0.0260;0.0811;64.50
10/15/21;33.59;0.6983;0.0488;-0.0271;0.0845;65.00
10/15/21;33.28;0.6723;0.0505;-0.0281;0.0875;65.50
10/15/21;32.96;0.6457;0.0520;-0.0289;0.0901;66.00
10/15/21;32.62;0.6186;0.0533;-0.0296;0.0924;66.50
10/15/21;32.27;0.5910;0.0543;-0.0302;0.0941;67.00
10/15/21;31.90;0.5632;0.0551;-0.0306;0.0954;67.50
10/15/21;31.61;0.5353;0.0556;-0.0309;0.0963;68.00
10/15/21;31.29;0.5075;0.0558;-0.0310;0.0967;68.50
10/15/21;31.04;0.4798;0.0557;-0.0310;0.0965;69.00
10/15/21;30.76;0.4524;0.0554;-0.0308;0.0960;69.50
10/15/21;30.45;0.4254;0.0548;-0.0305;0.0950;70.00
10/15/21;30.21;0.3990;0.0540;-0.0301;0.0936;70.50
10/15/21;30.04;0.3732;0.0530;-0.0295;0.0917;71.00
10/15/21;29.73;0.3481;0.0517;-0.0288;0.0896;71.50
10/15/21;29.61;0.3238;0.0503;-0.0280;0.0871;72.00
10/15/21;29.36;0.3004;0.0487;-0.0271;0.0843;72.50
10/15/21;29.19;0.2780;0.0469;-0.0261;0.0813;73.00
10/15/21;29.14;0.2566;0.0451;-0.0251;0.0781;73.50
10/15/21;28.95;0.2362;0.0431;-0.0240;0.0747;74.00
10/15/21;28.90;0.2168;0.0411;-0.0229;0.0712;74.50
10/15/21;28.86;0.1985;0.0390;-0.0217;0.0675;75.00
10/15/21;28.84;0.1813;0.0369;-0.0206;0.0639;75.50
10/15/21;28.86;0.1652;0.0348;-0.0194;0.0602;76.00
10/15/21;28.95;0.1501;0.0326;-0.0182;0.0565;76.50
10/15/21;29.11;0.1361;0.0305;-0.0171;0.0529;77.00
10/15/21;29.17;0.1230;0.0285;-0.0159;0.0493;77.50
10/15/21;29.34;0.1110;0.0265;-0.0148;0.0459;78.00
10/15/21;29.41;0.0999;0.0245;-0.0137;0.0425;78.50
10/15/21;29.64;0.0896;0.0226;-0.0127;0.0392;79.00
10/15/21;29.78;0.0803;0.0209;-0.0117;0.0361;79.50
10/15/21;29.84;0.0717;0.0191;-0.0107;0.0331;80.00
10/15/21;30.11;0.0639;0.0175;-0.0098;0.0303;80.50
10/15/21;30.31;0.0569;0.0160;-0.0090;0.0277;81.00
10/15/21;30.80;0.0505;0.0145;-0.0082;0.0252;81.50
10/15/21;30.88;0.0447;0.0132;-0.0074;0.0228;82.00
10/15/21;31.28;0.0395;0.0119;-0.0067;0.0207;82.50
10/15/21;31.65;0.0348;0.0108;-0.0061;0.0186;83.00
10/15/21;31.98;0.0306;0.0097;-0.0055;0.0168;83.50
10/15/21;32.26;0.0269;0.0087;-0.0049;0.0150;84.00
10/15/21;32.50;0.0235;0.0078;-0.0044;0.0135;84.50
10/15/21;32.68;0.0206;0.0069;-0.0040;0.0120;85.00
10/15/21;33.39;0.0180;0.0062;-0.0035;0.0107;85.50
10/15/21;33.50;0.0156;0.0055;-0.0032;0.0095;86.00
10/15/21;34.19;0.0136;0.0049;-0.0028;0.0084;86.50
10/15/21;34.22;0.0118;0.0043;-0.0025;0.0075;87.00
