Date,Strike,Moneyness,Bid,Midpoint,Ask,Last,Change,%Chg,Volume,Open Int,Vol/OI,IV,Time
210806,1200.00,0.73,3188.80,3190.85,3192.90,0.00,0.00,unch,0.00,0.00,0.00,7.48,N/A
210806,1400.00,0.68,2988.80,2990.85,2992.90,0.00,0.00,unch,0.00,0.00,0.00,6.63,N/A
210806,1600.00,0.64,2788.80,2790.85,2792.90,0.00,0.00,unch,0.00,0.00,0.00,5.89,N/A
210806,1800.00,0.59,2588.80,2590.85,2592.90,0.00,0.00,unch,0.00,0.00,0.00,5.24,N/A
210806,1900.00,0.57,2488.80,2490.85,2492.90,0.00,0.00,unch,0.00,0.00,0.00,4.95,N/A
210806,2000.00,0.54,2388.80,2390.85,2392.90,0.00,0.00,unch,0.00,0.00,0.00,4.67,N/A
210806,2100.00,0.52,2288.80,2290.80,2292.80,0.00,0.00,unch,0.00,0.00,0.00,4.39,N/A
210806,2200.00,0.50,2188.80,2190.80,2192.80,0.00,0.00,unch,0.00,0.00,0.00,4.14,N/A
210806,2300.00,0.48,2088.80,2090.80,2092.80,0.00,0.00,unch,0.00,0.00,0.00,3.89,N/A
210806,2400.00,0.45,1988.90,1990.85,1992.80,0.00,0.00,unch,0.00,0.00,0.00,3.66,N/A
210806,2500.00,0.43,1888.90,1890.85,1892.80,0.00,0.00,unch,0.00,0.00,0.00,3.44,N/A
210806,2600.00,0.41,1788.90,1790.85,1792.80,0.00,0.00,unch,0.00,0.00,0.00,3.22,N/A
210806,2700.00,0.38,1688.80,1690.80,1692.80,0.00,0.00,unch,0.00,0.00,0.00,3.01,N/A
210806,2800.00,0.36,1588.90,1590.85,1592.80,0.00,0.00,unch,0.00,0.00,0.00,2.81,N/A
210806,2900.00,0.34,1488.90,1490.85,1492.80,0.00,0.00,unch,0.00,0.00,0.00,2.61,N/A
210806,3000.00,0.32,1388.90,1390.90,1392.90,0.00,0.00,unch,0.00,0.00,0.00,2.43,N/A
210806,3100.00,0.29,1289.00,1290.90,1292.80,0.00,0.00,unch,0.00,0.00,0.00,2.24,N/A
210806,3200.00,0.27,1189.00,1190.90,1192.80,0.00,0.00,unch,0.00,0.00,0.00,2.06,N/A
210806,3250.00,0.26,1139.00,1140.85,1142.70,0.00,0.00,unch,0.00,0.00,0.00,1.97,N/A
210806,3300.00,0.25,1089.00,1090.85,1092.70,0.00,0.00,unch,0.00,0.00,0.00,1.88,N/A
210806,3350.00,0.24,1039.00,1040.85,1042.70,0.00,0.00,unch,0.00,0.00,0.00,1.79,N/A
210806,3400.00,0.23,989.00,990.85,992.70,1017.28,1017.28,unch,2.00,0.00,0.00,1.71,44235.00
210806,3450.00,0.21,939.10,941.00,942.90,0.00,0.00,unch,0.00,0.00,0.00,1.63,N/A
210806,3475.00,0.21,914.10,916.00,917.90,941.68,941.68,unch,4.00,0.00,0.00,1.59,44235.00
210806,3500.00,0.20,889.10,891.00,892.90,0.00,0.00,unch,0.00,0.00,0.00,1.55,N/A
210806,3525.00,0.20,864.10,866.00,867.90,0.00,0.00,unch,0.00,0.00,0.00,1.51,N/A
210806,3550.00,0.19,839.10,841.00,842.90,0.00,0.00,unch,0.00,0.00,0.00,1.47,N/A
210806,3575.00,0.19,814.10,816.00,817.90,0.00,0.00,unch,0.00,0.00,0.00,1.42,N/A
210806,3600.00,0.18,789.10,791.00,792.90,814.55,139.99,0.21,13.00,13.00,1.00,1.38,44235.00
210806,3625.00,0.17,765.50,765.90,766.30,0.00,0.00,unch,0.00,0.00,0.00,1.34,N/A
210806,3650.00,0.17,740.50,740.95,741.40,0.00,0.00,unch,0.00,0.00,0.00,1.30,N/A
210806,3675.00,0.16,715.50,715.90,716.30,0.00,0.00,unch,0.00,0.00,0.00,1.25,N/A
210806,3700.00,0.16,690.50,690.90,691.30,0.00,0.00,unch,0.00,0.00,0.00,1.21,N/A
210806,3720.00,0.15,670.50,670.95,671.40,0.00,0.00,unch,0.00,0.00,0.00,1.18,N/A
210806,3725.00,0.15,665.50,665.95,666.40,0.00,0.00,unch,0.00,0.00,0.00,1.17,N/A
210806,3730.00,0.15,660.50,660.95,661.40,0.00,0.00,unch,0.00,0.00,0.00,1.17,N/A
